Density target;Current position x;Current position y;Current position z;Current position type;Next position x;Next position y;Next position z;Next position type;Target position x;Target position y;Target position z;Target position type;Heading angle;Flight state;Flight speed;Aircraft diameter;Flight count;Total far collisions;Total medium collisions;Total close collisions;Total spot on collisions;This uav id;Other uav id
20;-156.3294;40;793.4067;Air;-1840.842;40;2469.279;Air;-1840.842;0;2469.279;Ground;135.15;Transit;5;2.75;460;552;228;41;1;411;454
20;-157.2213;40;795.7419;Air;-1767.248;40;-630.1111;Air;-1767.248;0;-630.1111;Ground;318.47;Transit;5;2.30;460;552;228;41;2;454;411
20;-793.0671;60;386.3006;Air;-884.2213;60;536.1829;Air;-884.2213;0;536.1829;Ground;121.31;Transit;2;1.40;1216;1622;607;124;3;1017;1127
20;-793.6092;60;387.0045;Air;-757.2874;60;335.5336;Air;-757.2874;0;335.5336;Ground;234.79;Transit;2;0.40;1216;1622;607;124;4;1127;1017
20;1759.952;40;-1231.068;Air;1759.952;40;-1231.068;Air;1759.952;0;-1231.068;Ground;180.00;Transit;6;1.22;1510;2050;778;165;5;1416;1491
20;1759.646;40;-1229.369;Air;2530.242;40;-2568.659;Air;2530.242;0;-2568.659;Ground;240.08;Transit;28;2.32;1510;2050;778;165;6;1491;1416
20;698.8818;70;-1535.842;Air;-648.6597;70;-1369.187;Air;-648.6597;0;-1369.187;Ground;172.95;Transit;12;1.22;1629;2210;845;175;7;1599;1609
20;697.6465;70;-1534.288;Air;-956.7953;70;-1732.864;Air;-956.7953;0;-1732.864;Ground;353.16;Transit;13;2.77;1629;2210;845;175;8;1609;1599
20;-1274.462;100;2038.131;Air;-1205.872;100;2227.285;Air;-1205.872;0;2227.285;Ground;70.07;Transit;1;2.65;1826;2487;944;201;9;1748;1819
20;-1275.89;100;2038.735;Air;1964.363;100;-1852.995;Air;1964.363;0;-1852.995;Ground;230.22;Transit;22;0.71;1826;2487;944;201;10;1819;1748
20;-1538.972;40;-36.1393;Air;-2355.138;40;507.6987;Air;-2355.138;0;507.6987;Ground;146.32;Transit;5;1.27;2026;2779;1063;227;11;1953;2019
20;-1539.823;40;-35.82565;Air;1529.89;40;-2379.996;Air;1529.89;0;-2379.996;Ground;217.37;Transit;15;0.59;2026;2779;1063;227;12;2019;1953
20;-1542.403;90;810.0884;Air;-1926.413;90;2375.851;Air;-1926.413;0;2375.851;Ground;103.78;Transit;28;0.90;2412;3311;1250;274;13;2398;2403
